title,dept,salary,race,gender,experience
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,9
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,33
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,13
DIVISION MANAGER,Houston Airport System (HAS),86297.0,Hispanic,Male,24
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,34
ADMINISTRATIVE ASSOCIATE,Houston Police Department-HPD,34757.0,Black,Female,11
ELECTRICIAN,Public Works & Engineering-PWE,49483.0,Hispanic,Male,11
EQUIPMENT OPERATOR III,Houston Airport System (HAS),40144.0,White,Male,7
LABORER,Houston Airport System (HAS),28163.0,Black,Male,3
EQUIPMENT WORKER,Public Works & Engineering-PWE,30992.0,Hispanic,Male,3
IT PROJECT MANAGER,Houston Fire Department (HFD),96668.0,Black,Female,18
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,58
LABORER,Public Works & Engineering-PWE,26125.0,Black,Female,15
AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),43826.0,White,Male,12
"PUBLIC HEALTH DENTIST,DDS",Health & Human Services,100791.0,White,Female,1
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Female,18
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,21
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,25
CUSTOMER SERVICE CLERK,Health & Human Services,31387.0,Hispanic,Female,19
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,18
ADMINISTRATIVE AIDE,Houston Airport System (HAS),36296.0,White,Female,17
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,White,Male,20
POLICE OFFICER,Houston Police Department-HPD,52514.0,Hispanic,Male,6
POLICE OFFICER,Houston Police Department-HPD,43443.0,Hispanic,Male,2
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Female,17
FIELD SUPERVISOR,Public Works & Engineering-PWE,44283.0,White,Male,36
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,16
LICENSED VOCATIONAL NURSE,Health & Human Services,48984.0,Black,Female,16
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,12
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Hispanic,Female,0
FIELD SUPERVISOR,Public Works & Engineering-PWE,53373.0,Black,Male,20
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,31
PROCUREMENT SPECIALIST,Public Works & Engineering-PWE,52156.0,Hispanic,Male,2
CUSTODIAN,Parks & Recreation,26125.0,Black,Female,23
INSPECTOR FIRE,Houston Fire Department (HFD),66523.0,Hispanic,Male,12
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Hispanic,Male,15
POLICE OFFICER,Houston Police Department-HPD,60347.0,Native American,Male,10
UTILITY WORKER,Public Works & Engineering-PWE,29557.0,Black,Male,4
UTILITY WORKER,Public Works & Engineering-PWE,30139.0,Black,Male,0
LABORER,Houston Airport System (HAS),26125.0,Hispanic,Female,15
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,16
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,7
SENIOR PLANT OPERATOR,Public Works & Engineering-PWE,45926.0,Black,Female,6
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,22
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,Black,Male,15
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,30
PUBLIC HEALTH EDUCATOR,Health & Human Services,36650.0,Hispanic,Female,1
FIELD SUPERVISOR,Public Works & Engineering-PWE,41288.0,Black,Male,10
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,8
SENIOR DATA ENTRY OPERATOR,Health & Human Services,31554.0,Asian,Female,23
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,White,Male,31
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,22
UTILITY MECHANIC,Public Works & Engineering-PWE,30597.0,Hispanic,Male,3
ADMINISTRATIVE ASSISTANT,Health & Human Services,44200.0,Black,Female,20
"FIRE FIGHTER, PROBATIONARY",Houston Fire Department (HFD),40170.0,Black,Male,1
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,13
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,24
STAFF EPIDEMIOLOGIST,Health & Human Services,59819.0,White,Male,6
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,18
POLICE OFFICER,Houston Police Department-HPD,43443.0,Hispanic,Female,2
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,20
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,25
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,9
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,24
EQUIPMENT WORKER,Public Works & Engineering-PWE,38646.0,Black,Male,27
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,Black,Male,1
RECREATION SPECIALIST,Parks & Recreation,33592.0,Black,Male,3
INSPECTOR,Public Works & Engineering-PWE,52458.0,Black,Male,28
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Asian,Male,13
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Female,7
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Female,25
JAIL ATTENDANT,Houston Police Department-HPD,36317.0,Black,Female,8
CUSTOMER SERVICE CLERK,Health & Human Services,30826.0,Hispanic,Female,8
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,Hispanic,Male,3
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,25
DISTRICT CHIEF,Houston Fire Department (HFD),89590.0,White,Male,23
GRAPHIC DESIGNER,Houston Airport System (HAS),52499.0,Black,Male,4
UTILITY WORKER,Public Works & Engineering-PWE,34798.0,Black,Male,9
ADMINISTRATIVE ASSOCIATE,Public Works & Engineering-PWE,35942.0,Black,Female,24
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,Black,Male,9
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,8
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,31
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,5
CEMENT FINISHER,Public Works & Engineering-PWE,31491.0,Black,Male,4
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,8
EQUIPMENT OPERATOR III,Houston Airport System (HAS),40435.0,Black,Male,26
UTILITY WORKER,Public Works & Engineering-PWE,30555.0,Black,Male,25
SENIOR MICROCOMPUTER ANALYST,Houston Police Department-HPD,62383.0,Asian,Male,3
RECREATION SPECIALIST,Parks & Recreation,30368.0,Black,Male,9
SENIOR UTILITY MECHANIC,Public Works & Engineering-PWE,40435.0,Black,Male,23
AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),43826.0,Black,Male,27
POLICE SERGEANT,Houston Police Department-HPD,74511.0,Black,Male,9
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Male,4
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,21
EQUIPMENT WORKER,Parks & Recreation,29307.0,Black,Male,0
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,31
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Hispanic,Male,2
SENIOR INSPECTOR,Public Works & Engineering-PWE,56742.0,Black,Male,30
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,31
ASSISTANT DIRECTOR (EXECUTIVE LEVEL),Houston Airport System (HAS),120916.0,White,Male,12
EQUIPMENT WORKER,Parks & Recreation,30347.0,Hispanic,Male,12
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,10
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,8
LABORER,Houston Airport System (HAS),26125.0,Black,Male,1
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,13
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,34
"ASSOCIATE EMS PHYSICIAN DIRECTOR,MD",Houston Fire Department (HFD),210588.0,White,Male,15
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Female,5
WEB DESIGNER,Houston Police Department-HPD,59530.0,Hispanic,Male,9
SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,Health & Human Services,45906.0,Black,Female,15
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,5
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,34
EQUIPMENT WORKER,Public Works & Engineering-PWE,30347.0,Asian,Male,2
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Female,27
MANAGING ENGINEER,Public Works & Engineering-PWE,110881.0,White,Male,10
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Male,5
ADMINISTRATIVE AIDE,Houston Police Department-HPD,30451.0,Hispanic,Female,16
FIRE FIGHTER,Houston Fire Department (HFD),57815.0,White,Male,15
MAINTENANCE MECHANIC III,Houston Airport System (HAS),39707.0,Hispanic,Male,3
UTILITY WORKER,Public Works & Engineering-PWE,28995.0,Hispanic,Male,2
SUPERINTENDENT,Houston Airport System (HAS),69514.0,White,Male,10
EQUIPMENT WORKER,Public Works & Engineering-PWE,32344.0,Black,Male,9
UTILITY WORKER,Public Works & Engineering-PWE,30992.0,White,Male,23
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Asian,Male,23
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,24
COUNSELOR,Health & Human Services,47382.0,Black,Female,8
UTILITY WORKER,Public Works & Engineering-PWE,39104.0,Black,Female,17
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Hispanic,Male,2
SENIOR MICROCOMPUTER ANALYST,Houston Airport System (HAS),62432.0,Asian,Male,4
FIRE FIGHTER,Houston Fire Department (HFD),57815.0,Hispanic,Male,15
POLICE OFFICER,Houston Police Department-HPD,55461.0,Asian,Male,10
CUSTOMER SERVICE REPRESENTATIVE II,Health & Human Services,43784.0,Hispanic,Female,23
POLICE SERVICE OFFICER,Houston Police Department-HPD,27914.0,Asian,Male,1
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,14
INSPECTOR,Public Works & Engineering-PWE,53123.0,Hispanic,Male,15
MOBILITY SERVICE OFFICER,Houston Police Department-HPD,42370.0,Hispanic,Male,9
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,23
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,37
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,Hispanic,Male,15
EQUIPMENT WORKER,Public Works & Engineering-PWE,30347.0,Black,Male,0
ADMINISTRATIVE SPECIALIST,Houston Fire Department (HFD),58040.0,Hispanic,Female,21
SENIOR CAPTAIN,Houston Fire Department (HFD),74270.0,White,Female,15
SENIOR POLICE TELECOMMUNICATOR,Houston Police Department-HPD,46675.0,White,Female,5
FINANCIAL ANALYST III,Houston Police Department-HPD,59182.0,Black,Female,31
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Female,20
EQUIPMENT WORKER,Public Works & Engineering-PWE,33987.0,Black,Female,3
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,Native American,Male,20
INSPECTOR,Public Works & Engineering-PWE,47382.0,Hispanic,Male,3
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,34
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Female,3
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,21
TECHNICAL  HARDWARE  ANALYST  III,Houston Police Department-HPD,62338.0,Asian,Male,3
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,24
FIELD SUPERVISOR,Public Works & Engineering-PWE,45490.0,Black,Male,25
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,33
CAPTAIN,Houston Fire Department (HFD),66523.0,Hispanic,Male,15
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Hispanic,Male,0
COMMUNITY RELATIONS SPECIALIST,Health & Human Services,32802.0,Hispanic,Male,2
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Male,3
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,Black,Male,1
OFFICE SUPERVISOR,Public Works & Engineering-PWE,38542.0,Hispanic,Male,3
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,7
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,35485.0,Black,Female,11
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,Hispanic,Male,2
LABORER,Houston Airport System (HAS),26125.0,Black,Male,1
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,5
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,15
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,White,Male,4
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Male,10
LABORATORY MANAGER,Health & Human Services,81849.0,White,Female,8
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Female,9
CUSTOMER SERVICE REPRESENTATIVE I,Health & Human Services,30347.0,Black,Female,4
SPECIAL SERVICE REPRESENTATIVE,Houston Airport System (HAS),35277.0,Black,Male,12
SENIOR PUBLIC HEALTH INVESTIGATOR,Health & Human Services,39312.0,Hispanic,Female,7
ELECTRICIAN,Houston Airport System (HAS),58677.0,White,Male,13
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,14
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,7
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,12
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,20
SENIOR CUSTOMER SERVICE CLERK,Health & Human Services,34382.0,White,Female,33
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,8
EQUIPMENT WORKER,Public Works & Engineering-PWE,38438.0,Hispanic,Male,24
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,19
POLICE OFFICER,Houston Police Department-HPD,43443.0,White,Male,2
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,18
POLICE OFFICER,Houston Police Department-HPD,52514.0,White,Male,7
INSPECTOR,Public Works & Engineering-PWE,54600.0,White,Male,11
PLANT OPERATOR SUPERVISOR,Public Works & Engineering-PWE,54995.0,Black,Male,11
INSPECTOR,Public Works & Engineering-PWE,51584.0,Hispanic,Male,1
INSPECTOR,Houston Fire Department (HFD),70181.0,Black,Male,26
ADMINISTRATIVE COORDINATOR,Public Works & Engineering-PWE,59748.0,Black,Male,10
ASSISTANT DIRECTOR-PUBLIC WORKS (EXECUTI,Public Works & Engineering-PWE,141948.0,White,Male,11
ASSISTANT AIRPORT MANAGER,Houston Airport System (HAS),100228.0,Black,Male,25
UTILITY WORKER,Public Works & Engineering-PWE,31450.0,Hispanic,Male,13
FIELD SUPERVISOR,Public Works & Engineering-PWE,45989.0,Black,Male,18
SENIOR CONTRACT ADMINISTRATOR,Health & Human Services,81972.0,Black,Female,15
EQUIPMENT WORKER,Parks & Recreation,33634.0,Hispanic,Male,22
DISTRICT CHIEF,Houston Fire Department (HFD),84995.0,White,Male,16
DENTAL ASSISTANT,Health & Human Services,28434.0,Hispanic,Female,2
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,20
POLICE SERGEANT,Houston Police Department-HPD,77076.0,Hispanic,Male,14
ADMINISTRATIVE SPECIALIST,Houston Airport System (HAS),51139.0,White,Female,24
POLICE OFFICER,Houston Police Department-HPD,45279.0,Hispanic,Male,3
SEMI-SKILLED LABORER,Public Works & Engineering-PWE,27373.0,Black,Female,8
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Male,9
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,White,Male,35
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,31
ACCOUNTANT SUPERVISOR,Houston Airport System (HAS),68451.0,Hispanic,Female,10
ADMINISTRATIVE ASSISTANT,Parks & Recreation,36920.0,Hispanic,Female,26
POLICE SERGEANT,Houston Police Department-HPD,77076.0,White,Male,16
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,Hispanic,Female,2
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,20
RECORDS ADMINISTRATOR,Houston Airport System (HAS),65832.0,White,Male,1
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,9
POLICE OFFICER,Houston Police Department-HPD,50621.0,Black,Male,5
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,Black,Male,12
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Hispanic,Female,1
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,6
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Female,22
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Hispanic,Male,4
POLICE OFFICER,Houston Police Department-HPD,47650.0,White,Male,4
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Female,15
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,White,Female,0
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Black,Male,14
SENIOR BREASTFEEDING PEER COUNSELOR,Health & Human Services,32864.0,Hispanic,Female,10
SENIOR PLAN ANALYST,Public Works & Engineering-PWE,56742.0,White,Male,9
FIELD SUPERVISOR,Public Works & Engineering-PWE,41288.0,Black,Male,7
COMMUNITY INVOLVEMENT COORDINATOR,Parks & Recreation,48090.0,Black,Female,8
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,11
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,20
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Black,Male,8
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Asian,Male,15
UTILITY MECHANIC,Public Works & Engineering-PWE,30597.0,Black,Male,2
INSPECTOR,Public Works & Engineering-PWE,46800.0,Hispanic,Male,0
POLICE OFFICER,Houston Police Department-HPD,50621.0,Hispanic,Male,2
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,7
SENIOR INSPECTOR,Public Works & Engineering-PWE,63315.0,White,Male,10
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,23
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Hispanic,Female,2
EQUIPMENT WORKER,Public Works & Engineering-PWE,39978.0,Black,Male,22
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Female,5
SAFETY REPRESENTATIVE,Parks & Recreation,54600.0,Black,Male,2
POLICE LIEUTENANT,Houston Police Department-HPD,86534.0,Black,Female,23
ADMINISTRATIVE ASSOCIATE,Houston Police Department-HPD,37294.0,Hispanic,Female,10
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,16
POLICE OFFICER,Houston Police Department-HPD,50621.0,White,Male,6
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,13
CAPTAIN,Houston Fire Department (HFD),66523.0,Black,Male,17
POLICE OFFICER,Houston Police Department-HPD,45279.0,Black,Male,2
EQUIPMENT WORKER,Parks & Recreation,33488.0,Black,Male,17
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,7
UTILITY WORKER,Public Works & Engineering-PWE,28995.0,Black,Male,2
SUPERVISING ENGINEER,Public Works & Engineering-PWE,90716.0,Asian,Female,8
EQUIPMENT OPERATOR II,Houston Airport System (HAS),41808.0,Hispanic,Male,18
DIVISION MANAGER (EXECUTIVE LEVEL),Health & Human Services,94149.0,Asian,Female,12
STAFF ANALYST,Public Works & Engineering-PWE,73783.0,White,Female,16
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,32
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Black,Male,13
POLICE OFFICER,Houston Police Department-HPD,45279.0,Hispanic,Female,3
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Hispanic,Female,3
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,8
SENIOR PLAN ANALYST,Public Works & Engineering-PWE,54600.0,Black,Male,7
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,9
PLANT OPERATOR,Public Works & Engineering-PWE,39478.0,White,Male,2
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,White,Male,2
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,9
RECORDS TECHNICIAN,Public Works & Engineering-PWE,28600.0,Black,Female,0
ELECTRICIAN,Public Works & Engineering-PWE,44096.0,White,Male,0
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,17
SENIOR INSPECTOR,Public Works & Engineering-PWE,60133.0,Black,Female,22
MICROBIOLOGIST III,Health & Human Services,52072.0,White,Male,4
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,15
CHEMIST II,Public Works & Engineering-PWE,51168.0,Asian,Female,13
WATER SERVICE INSPECTOR I,Public Works & Engineering-PWE,32240.0,Black,Male,3
CUSTOMER SERVICE REPRESENTATIVE II,Public Works & Engineering-PWE,33488.0,Hispanic,Female,1
FIRE FIGHTER,Houston Fire Department (HFD),61921.0,White,Male,6
POLICE OFFICER,Houston Police Department-HPD,45279.0,Black,Male,3
POLICE OFFICER,Houston Police Department-HPD,50621.0,Asian,Male,6
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,13
PUBLIC WORKS MAINTENANCE SECTION CHIEF,Public Works & Engineering-PWE,53851.0,Black,Male,25
POLICE CAPTAIN,Houston Police Department-HPD,104455.0,White,Male,33
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,7
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,Black,Male,9
JAIL ATTENDANT,Houston Police Department-HPD,36317.0,Black,Female,8
DATA ENTRY OPERATOR,Houston Police Department-HPD,27893.0,Black,Male,10
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,42266.0,Black,Male,12
MOBILITY SERVICE OFFICER,Houston Police Department-HPD,44970.0,Black,Female,31
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,30
UTILITY WORKER,Public Works & Engineering-PWE,35797.0,Black,Male,13
DIVISION MANAGER,Houston Airport System (HAS),88003.0,White,Female,20
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,White,Male,10
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,23
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,12
SENIOR PUBLIC HEALTH INVESTIGATOR,Health & Human Services,38189.0,Black,Female,5
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,White,Male,16
PUBLIC HEALTH NURSE IV,Health & Human Services,76246.0,Black,Female,24
ADMINISTRATIVE ASSISTANT,Public Works & Engineering-PWE,40352.0,Hispanic,Female,25
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,35
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,22
UTILITY MECHANIC,Public Works & Engineering-PWE,30597.0,Hispanic,Male,0
TECHNICAL HARDWARE ANALYST I,Public Works & Engineering-PWE,39666.0,Black,Female,0
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,13
CHIEF COMMUNICATION OFFICER,Houston Fire Department (HFD),89590.0,White,Male,38
CUSTOMER SERVICE CLERK,Health & Human Services,30410.0,Hispanic,Female,24
CLINIC ASSISTANT,Health & Human Services,30597.0,Black,Female,10
EQUIPMENT OPERATOR I,Houston Airport System (HAS),27851.0,White,Male,10
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,31
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,13
CAR ATTENDANT,Houston Police Department-HPD,24960.0,Black,Female,0
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,5
SENIOR ACCOUNT CLERK,Health & Human Services,34299.0,Hispanic,Female,23
COMMUNITY LIAISON,Health & Human Services,49379.0,Black,Female,12
TECHNICAL HARDWARE ANALYST II,Public Works & Engineering-PWE,51605.0,Black,Male,11
