dept,title,race,gender,experience_level,experience,salary
Houston Airport System (HAS),LABORER,Hispanic,Female,Experienced,15.0,26125.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Veteran,16.7,66523.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Experienced,7.9,51194.0
Public Works & Engineering-PWE,SENIOR PLANT OPERATOR,Black,Female,Experienced,6.2,45926.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,22.6,66614.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,Black,Male,Veteran,15.7,62540.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,30.7,63166.0
Health & Human Services,PUBLIC HEALTH EDUCATOR,Hispanic,Female,Novice,1.2,36650.0
Public Works & Engineering-PWE,FIELD SUPERVISOR,Black,Male,Experienced,10.0,41288.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Experienced,8.5,51194.0
Health & Human Services,SENIOR DATA ENTRY OPERATOR,Asian,Female,Veteran,23.1,31554.0
Houston Police Department-HPD,POLICE LIEUTENANT,White,Male,Veteran,31.4,91181.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Female,Veteran,22.5,66614.0
Public Works & Engineering-PWE,UTILITY MECHANIC,Hispanic,Male,Novice,3.5,30597.0
Health & Human Services,ADMINISTRATIVE ASSISTANT,Black,Female,Veteran,20.2,44200.0
Houston Fire Department (HFD),"FIRE FIGHTER, PROBATIONARY",Black,Male,Novice,1.4,40170.0
Public Works & Engineering-PWE,ASSISTANT PROJECT MANAGER,White,Female,Experienced,8.9,
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,13.7,62540.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,24.1,66614.0
Health & Human Services,STAFF EPIDEMIOLOGIST,White,Male,Experienced,6.9,59819.0
Houston Police Department-HPD,POLICE SERGEANT,Hispanic,Male,Veteran,18.3,81239.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Female,Novice,2.5,43443.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,20.1,66614.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,25.6,81239.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,Hispanic,Male,Experienced,9.8,61921.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,24.4,66614.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Black,Male,Veteran,27.6,38646.0
Houston Police Department-HPD,"POLICE OFFICER,PROBATIONARY",Black,Male,Novice,1.4,42000.0
Parks & Recreation,RECREATION SPECIALIST,Black,Male,Novice,3.4,33592.0
Public Works & Engineering-PWE,INSPECTOR,Black,Male,Veteran,28.7,52458.0
Houston Police Department-HPD,POLICE SERGEANT,Asian,Male,Experienced,13.5,77076.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Female,Experienced,7.3,51194.0
Houston Police Department-HPD,POLICE SERGEANT,White,Female,Veteran,25.8,81239.0
Houston Police Department-HPD,JAIL ATTENDANT,Black,Female,Experienced,8.0,36317.0
Health & Human Services,CUSTOMER SERVICE CLERK,Hispanic,Female,Experienced,8.9,30826.0
Houston Police Department-HPD,POLICE SERGEANT,Hispanic,Male,Veteran,32.5,
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Novice,3.1,45791.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,25.1,66614.0
Houston Fire Department (HFD),DISTRICT CHIEF,White,Male,Veteran,23.7,89590.0
Houston Airport System (HAS),GRAPHIC DESIGNER,Black,Male,Novice,4.7,52499.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Experienced,9.0,34798.0
Public Works & Engineering-PWE,ADMINISTRATIVE ASSOCIATE,Black,Female,Veteran,24.0,35942.0
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Experienced,9.8,52644.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,8.8,60347.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,31.1,63166.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Experienced,5.5,55461.0
Public Works & Engineering-PWE,CEMENT FINISHER,Black,Male,Novice,4.3,31491.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,8.8,55461.0
Houston Airport System (HAS),EQUIPMENT OPERATOR III,Black,Male,Veteran,26.0,40435.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Male,Veteran,25.7,30555.0
Houston Police Department-HPD,SENIOR MICROCOMPUTER ANALYST,Asian,Male,Novice,3.3,62383.0
Parks & Recreation,RECREATION SPECIALIST,Black,Male,Experienced,9.1,30368.0
Public Works & Engineering-PWE,SENIOR UTILITY MECHANIC,Black,Male,Veteran,23.4,40435.0
Houston Airport System (HAS),AIRPORT OPERATIONS SPECIALIST,Black,Male,Veteran,27.0,43826.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Male,Experienced,9.2,74511.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Novice,4.4,47650.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,21.5,66614.0
Parks & Recreation,EQUIPMENT WORKER,Black,Male,Novice,0.9,29307.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Male,Veteran,31.1,81239.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Novice,2.7,43528.0
Public Works & Engineering-PWE,SENIOR INSPECTOR,Black,Male,Veteran,30.6,56742.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,31.5,66614.0
Houston Airport System (HAS),ASSISTANT DIRECTOR (EXECUTIVE LEVEL),White,Male,Experienced,12.5,120916.0
Parks & Recreation,EQUIPMENT WORKER,Hispanic,Male,Experienced,12.2,30347.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,10.3,55461.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,Hispanic,Male,Experienced,8.5,61921.0
Houston Airport System (HAS),LABORER,Black,Male,Novice,1.6,26125.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Experienced,13.2,66523.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,34.2,66614.0
Houston Fire Department (HFD),"ASSOCIATE EMS PHYSICIAN DIRECTOR,MD",White,Male,Veteran,15.2,210588.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Female,Experienced,5.5,47650.0
Houston Police Department-HPD,WEB DESIGNER,Hispanic,Male,Experienced,9.4,59530.0
Health & Human Services,SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,Black,Female,Veteran,15.4,45906.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Experienced,5.5,47650.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,34.0,66614.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Asian,Male,Novice,2.1,30347.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Female,Veteran,27.2,66614.0
Public Works & Engineering-PWE,MANAGING ENGINEER,White,Male,Experienced,10.7,110881.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Novice,5.0,47650.0
Houston Police Department-HPD,ADMINISTRATIVE AIDE,Hispanic,Female,Veteran,16.3,30451.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,14.9,57815.0
Houston Airport System (HAS),MAINTENANCE MECHANIC III,Hispanic,Male,Novice,3.0,39707.0
Public Works & Engineering-PWE,UTILITY WORKER,Hispanic,Male,Novice,2.6,28995.0
Houston Airport System (HAS),SUPERINTENDENT,White,Male,Experienced,10.5,69514.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Black,Male,Experienced,9.6,32344.0
Public Works & Engineering-PWE,UTILITY WORKER,White,Male,Veteran,23.2,30992.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Asian,Male,Veteran,23.8,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Female,Veteran,24.3,66614.0
Health & Human Services,COUNSELOR,Black,Female,Experienced,8.1,47382.0
Public Works & Engineering-PWE,UTILITY WORKER,Black,Female,Veteran,17.7,39104.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Novice,2.2,43528.0
Houston Airport System (HAS),SENIOR MICROCOMPUTER ANALYST,Asian,Male,Novice,4.0,62432.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Veteran,15.1,57815.0
Houston Police Department-HPD,POLICE OFFICER,Asian,Male,Experienced,10.5,55461.0
Health & Human Services,CUSTOMER SERVICE REPRESENTATIVE II,Hispanic,Female,Veteran,23.4,43784.0
Houston Police Department-HPD,POLICE SERVICE OFFICER,Asian,Male,Novice,1.5,27914.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,14.5,62540.0
Public Works & Engineering-PWE,INSPECTOR,Hispanic,Male,Veteran,15.5,53123.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,38.0,
Houston Police Department-HPD,MOBILITY SERVICE OFFICER,Hispanic,Male,Experienced,9.5,42370.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,23.6,66614.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,37.8,66614.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,Hispanic,Male,Veteran,15.7,62540.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Black,Male,Novice,0.8,30347.0
Houston Fire Department (HFD),ADMINISTRATIVE SPECIALIST,Hispanic,Female,Veteran,21.5,58040.0
Houston Fire Department (HFD),SENIOR CAPTAIN,White,Female,Experienced,14.9,74270.0
Houston Police Department-HPD,SENIOR POLICE TELECOMMUNICATOR,White,Female,Experienced,5.7,46675.0
Houston Police Department-HPD,FINANCIAL ANALYST III,Black,Female,Veteran,31.6,59182.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Female,Veteran,20.3,66614.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Black,Female,Novice,3.3,33987.0
Houston Fire Department (HFD),SENIOR CAPTAIN,Native American,Male,Veteran,20.0,78355.0
Public Works & Engineering-PWE,INSPECTOR,Hispanic,Male,Novice,3.0,47382.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,34.2,81239.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Female,Novice,3.3,45791.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,21.6,66614.0
Houston Police Department-HPD,TECHNICAL  HARDWARE  ANALYST  III,Asian,Male,Novice,3.5,62338.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,24.3,66614.0
Public Works & Engineering-PWE,FIELD SUPERVISOR,Black,Male,Veteran,25.8,45490.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,33.2,66614.0
Houston Fire Department (HFD),CAPTAIN,Hispanic,Male,Veteran,15.1,66523.0
Houston Fire Department (HFD),"FIRE FIGHTER,PROBATIONARY",Hispanic,Male,Novice,0.9,40170.0
Health & Human Services,COMMUNITY RELATIONS SPECIALIST,Hispanic,Male,Novice,2.1,32802.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Novice,3.8,47650.0
Parks & Recreation,RECREATION ASSISTANT,Hispanic,Male,Novice,0.5,
Houston Police Department-HPD,"POLICE OFFICER,PROBATIONARY",Black,Male,Novice,1.1,42000.0
Public Works & Engineering-PWE,OFFICE SUPERVISOR,Hispanic,Male,Novice,3.1,38542.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,7.9,51194.0
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE III,Black,Female,Experienced,11.5,35485.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Novice,2.9,45791.0
Houston Airport System (HAS),LABORER,Black,Male,Novice,1.5,26125.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Experienced,5.5,47650.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Experienced,14.9,66523.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Novice,4.4,48190.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Experienced,10.4,55461.0
Health & Human Services,LABORATORY MANAGER,White,Female,Experienced,8.5,81849.0
Houston Police Department-HPD,POLICE OFFICER,Black,Female,Experienced,9.3,55461.0
Health & Human Services,CUSTOMER SERVICE REPRESENTATIVE I,Black,Female,Novice,4.0,30347.0
Houston Airport System (HAS),SPECIAL SERVICE REPRESENTATIVE,Black,Male,Experienced,12.0,35277.0
Health & Human Services,SENIOR PUBLIC HEALTH INVESTIGATOR,Hispanic,Female,Experienced,7.7,39312.0
Houston Airport System (HAS),ELECTRICIAN,White,Male,Experienced,12.9,58677.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,14.4,62540.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,7.8,61921.0
Houston Fire Department (HFD),CAPTAIN,White,Male,Experienced,12.3,66523.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,20.1,66614.0
Health & Human Services,SENIOR CUSTOMER SERVICE CLERK,White,Female,Veteran,33.8,34382.0
Houston Fire Department (HFD),FIRE FIGHTER,White,Male,Experienced,8.5,51194.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Hispanic,Male,Veteran,24.3,38438.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,19.5,66614.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Novice,2.1,43443.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Hispanic,Male,Veteran,18.3,66614.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,7.4,52514.0
Public Works & Engineering-PWE,INSPECTOR,White,Male,Experienced,11.7,54600.0
Public Works & Engineering-PWE,PLANT OPERATOR SUPERVISOR,Black,Male,Experienced,11.8,54995.0
Public Works & Engineering-PWE,INSPECTOR,Hispanic,Male,Novice,1.5,51584.0
Houston Fire Department (HFD),INSPECTOR,Black,Male,Veteran,26.4,70181.0
Public Works & Engineering-PWE,ADMINISTRATIVE COORDINATOR,Black,Male,Experienced,10.7,59748.0
Public Works & Engineering-PWE,ASSISTANT DIRECTOR-PUBLIC WORKS (EXECUTI,White,Male,Experienced,11.3,141948.0
Houston Airport System (HAS),ASSISTANT AIRPORT MANAGER,Black,Male,Veteran,25.7,100228.0
Public Works & Engineering-PWE,UTILITY WORKER,Hispanic,Male,Experienced,13.4,31450.0
Public Works & Engineering-PWE,FIELD SUPERVISOR,Black,Male,Veteran,18.3,45989.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Female,Veteran,31.1,
Health & Human Services,SENIOR CONTRACT ADMINISTRATOR,Black,Female,Veteran,15.3,81972.0
Parks & Recreation,EQUIPMENT WORKER,Hispanic,Male,Veteran,22.4,33634.0
Houston Fire Department (HFD),DISTRICT CHIEF,White,Male,Veteran,16.7,84995.0
Health & Human Services,DENTAL ASSISTANT,Hispanic,Female,Novice,2.0,28434.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,20.0,66614.0
Houston Police Department-HPD,POLICE SERGEANT,Hispanic,Male,Experienced,14.8,77076.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,42.5,
Houston Airport System (HAS),ADMINISTRATIVE SPECIALIST,White,Female,Veteran,24.8,51139.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Novice,3.5,45279.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,26.9,
Public Works & Engineering-PWE,SEMI-SKILLED LABORER,Black,Female,Experienced,8.6,27373.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Experienced,9.0,55461.0
Houston Police Department-HPD,POLICE LIEUTENANT,White,Male,Veteran,35.3,91181.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,31.6,66614.0
Houston Airport System (HAS),ACCOUNTANT SUPERVISOR,Hispanic,Female,Experienced,10.2,68451.0
Parks & Recreation,ADMINISTRATIVE ASSISTANT,Hispanic,Female,Veteran,26.5,36920.0
Houston Police Department-HPD,POLICE SERGEANT,White,Male,Veteran,16.1,77076.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Female,Novice,2.1,45791.0
Houston Police Department-HPD,POLICE SERGEANT,Black,Male,Veteran,20.1,81239.0
Houston Airport System (HAS),RECORDS ADMINISTRATOR,White,Male,Novice,1.9,65832.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Experienced,9.3,55461.0
Houston Police Department-HPD,POLICE OFFICER,Black,Male,Experienced,5.7,50621.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,31.4,
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Experienced,12.3,52644.0
Health & Human Services,COMMUNITY RELATIONS SPECIALIST,,Female,Novice,0.5,
Houston Fire Department (HFD),"FIRE FIGHTER,PROBATIONARY",Hispanic,Female,Novice,1.4,40170.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Experienced,6.5,51194.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Female,Veteran,22.1,63166.0
Houston Fire Department (HFD),FIRE FIGHTER,Hispanic,Male,Novice,4.6,48190.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Novice,4.4,47650.0
Houston Police Department-HPD,POLICE OFFICER,White,Female,Experienced,15.0,60347.0
Houston Fire Department (HFD),"FIRE FIGHTER,PROBATIONARY",White,Female,Novice,0.9,40170.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Experienced,14.0,61643.0
Health & Human Services,SENIOR BREASTFEEDING PEER COUNSELOR,Hispanic,Female,Experienced,10.0,32864.0
Public Works & Engineering-PWE,SENIOR PLAN ANALYST,White,Male,Experienced,9.7,56742.0
Public Works & Engineering-PWE,FIELD SUPERVISOR,Black,Male,Experienced,7.6,41288.0
Parks & Recreation,COMMUNITY INVOLVEMENT COORDINATOR,Black,Female,Experienced,8.3,48090.0
Houston Police Department-HPD,POLICE OFFICER,White,Male,Experienced,11.8,60347.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Black,Male,Veteran,20.3,66614.0
Houston Fire Department (HFD),FIRE FIGHTER,Black,Male,Experienced,8.5,51194.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,Asian,Male,Experienced,15.0,61643.0
Public Works & Engineering-PWE,UTILITY MECHANIC,Black,Male,Novice,2.4,30597.0
Public Works & Engineering-PWE,INSPECTOR,Hispanic,Male,Novice,0.7,46800.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Male,Novice,2.4,50621.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Experienced,7.8,61921.0
Public Works & Engineering-PWE,SENIOR INSPECTOR,White,Male,Experienced,10.9,63315.0
Houston Police Department-HPD,SENIOR POLICE OFFICER,White,Male,Veteran,23.6,66614.0
Public Works & Engineering-PWE,CUSTOMER SERVICE REPRESENTATIVE I,Hispanic,Female,Novice,1.9,30347.0
Public Works & Engineering-PWE,EQUIPMENT WORKER,Black,Male,Veteran,22.8,39978.0
Houston Police Department-HPD,POLICE OFFICER,Hispanic,Female,Experienced,5.5,47650.0
Parks & Recreation,SAFETY REPRESENTATIVE,Black,Male,Novice,2.9,54600.0
Houston Police Department-HPD,POLICE LIEUTENANT,Black,Female,Veteran,23.4,86534.0
Houston Police Department-HPD,ADMINISTRATIVE ASSOCIATE,Hispanic,Female,Experienced,10.6,37294.0
Houston Fire Department (HFD),ENGINEER/OPERATOR,White,Male,Veteran,16.7,62540.0
